excel_row,machine_group,name,regist_date,last_login,residence,education_min,grad_year_from,grad_year_to,age_max,age_min,company_count,job_category,job_category_priority,work_location,work_location_priority,transfer_timing,own_send
58,LEGACY,≪未送信リスト≫登録日7日以内_ほぼ空白リスト,7日以内,１日以内,全国,-,2018,2025,32,19,～3社,-,-,首都圏/愛知/大阪/兵庫/京都,第二希望,-,含まない
59,LEGACY,≪送信済リスト≫登録日2日前ログイン1日前_年齢・職種不問,2日前,1日以内,全国,,2015,2025,,,～2社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
60,LEGACY,≪送信済リスト≫登録日2日前_年齢・職種不問,2日前,3日以内,全国,高等学校,2015,2025,35,19,～2社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
61,LEGACY,≪送信済リスト≫登録日3～7日前_年齢・職種不問,3～7日前,1日以内,全国,高等学校,2015,2025,35,19,～2社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
62,LEGACY,≪送信済リスト≫登録日15日以内_年齢・職種不問,8～15日前,1日以内,全国,高等学校,2015,2025,35,19,～2社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
63,LEGACY,≪送信済リスト≫登録日直近30日_年齢・職種不問,16～30日前,1日以内,全国,高等学校,2015,2025,35,19,～2社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
64,LEGACY,≪送信済リスト≫登録日指定なし_ほぼ空白リスト,-,１日以内,全国,-,2020,2025,30,19,～2社,-,-,首都圏/愛知/大阪/兵庫/京都,第二希望,-,のみ
65,LEGACY,≪送信済リスト≫25～25年_職種不問,指定なし,1日以内,全国,高等学校,2025,2025,25,19,～1社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
66,LEGACY,≪送信済リスト≫24～24年_職種不問,指定なし,1日以内,全国,高等学校,2024,2024,26,20,～1社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
67,LEGACY,≪送信済リスト≫22～22年_職種不問,指定なし,1日以内,全国,高等学校,2022,2022,28,22,～1社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
68,LEGACY,≪送信済リスト≫23～23年_職種不問,指定なし,1日以内,全国,高等学校,2023,2023,27,21,～1社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
69,LEGACY,≪送信済リスト≫20～21年_職種不問,指定なし,1日以内,全国,高等学校,2020,2021,30,23,～1社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
70,LEGACY,≪送信済リスト≫18～19年_職種不問,指定なし,1日以内,全国,高等学校,2018,2019,32,25,～2社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
71,LEGACY,≪送信済リスト≫15～17年_職種不問,指定なし,1日以内,全国,高等学校,2015,2017,35,27,～2社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,のみ
72,LEGACY,停止,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-
73,LEGACY,【未送信リスト】開放日_有効職,7日以内,1日以内,全国,高等学校,2015,2025,35,19,～2社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,含まない
74,LEGACY,【未送信リスト】開放日_職種不問,7日以内,1日以内,全国,高等学校,2015,2025,35,19,～2社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,含まない
75,LEGACY,【未送信リスト】開放日_ログイン7日以内_有効職,7日以内,7日以内,全国,高等学校,2015,2025,35,19,～2社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,含まない
76,LEGACY,【未送信リスト】既登録_20代前半_有効職,8日以降,1日以内,全国,高等学校,2022,2025,28,19,～1社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,含まない
77,LEGACY,【未送信リスト】既登録_20代前半_職種不問,8日以降,1日以内,全国,高等学校,2022,2025,28,19,～1社,指定なし,-,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,含まない
78,LEGACY,【未送信リスト】既登録_20代後半_有効職,8日以降,1日以内,全国,高等学校,2015,2021,35,23,～2社,有効職,第一希望,首都圏/愛知/大阪/兵庫,第一希望,～半年以内,含まない
